lead_days,terms,bin_low,bin_high,hours,mean_predicted,observed_frequency
6,drift only,0.0,0.1,2962,0.01,0.0
6,drift only,0.1,0.2,413,0.1491,0.0
6,drift only,0.2,0.3,246,0.2387,0.0
6,drift only,0.3,0.4,191,0.3433,0.0
6,drift only,0.4,0.5,132,0.431,0.0
6,drift only,0.5,0.6,182,0.5506,0.5385
6,drift only,0.6,0.7,201,0.6573,1.0
6,drift only,0.7,0.8,191,0.7621,1.0
6,drift only,0.8,0.9,252,0.844,1.0
6,drift only,0.9,1.0,1262,0.986,1.0
7,shipped,0.0,0.1,2606,0.0168,0.0
7,shipped,0.1,0.2,484,0.1451,0.0
7,shipped,0.2,0.3,386,0.2478,0.0
7,shipped,0.3,0.4,249,0.3506,0.0
7,shipped,0.4,0.5,172,0.4485,0.0
7,shipped,0.5,0.6,205,0.552,0.478
7,shipped,0.6,0.7,254,0.6484,1.0
7,shipped,0.7,0.8,138,0.769,1.0
7,shipped,0.8,0.9,280,0.8413,1.0
7,shipped,0.9,1.0,1234,0.9814,1.0
7,drift only,0.0,0.1,2639,0.0157,0.0
7,drift only,0.1,0.2,483,0.1457,0.0
7,drift only,0.2,0.3,354,0.2468,0.0
7,drift only,0.3,0.4,249,0.3463,0.0
7,drift only,0.4,0.5,172,0.4459,0.0
7,drift only,0.5,0.6,205,0.5532,0.478
7,drift only,0.6,0.7,254,0.6522,1.0
7,drift only,0.7,0.8,138,0.7728,1.0
7,drift only,0.8,0.9,270,0.8425,1.0
7,drift only,0.9,1.0,1244,0.9819,1.0
