hour,lead_time_hours,variable,models_reporting,providers_reporting,model_spread,provider_spread
2026-08-04T03:00,27,swell_wave_period,5,3,1.90,1.78
2026-08-04T03:00,27,swell_wave_direction,5,3,6.00,3.50
2026-08-04T04:00,28,swell_wave_height,5,3,0.26,0.22
2026-08-04T04:00,28,swell_wave_period,5,3,2.15,2.00
2026-08-04T04:00,28,swell_wave_direction,5,3,6.00,4.50
2026-08-04T05:00,29,swell_wave_height,5,3,0.28,0.24
2026-08-04T05:00,29,swell_wave_period,5,3,2.25,2.10
2026-08-04T05:00,29,swell_wave_direction,5,3,6.00,4.50
2026-08-04T06:00,30,swell_wave_height,5,3,0.26,0.24
2026-08-04T06:00,30,swell_wave_period,5,3,2.35,2.17
2026-08-04T06:00,30,swell_wave_direction,5,3,8.00,5.00
2026-08-04T07:00,31,swell_wave_height,5,3,0.28,0.25
2026-08-04T07:00,31,swell_wave_period,5,3,2.40,2.23
2026-08-04T07:00,31,swell_wave_direction,5,3,7.00,5.00
2026-08-04T08:00,32,swell_wave_height,5,3,0.28,0.21
2026-08-04T08:00,32,swell_wave_period,5,3,2.65,2.28
2026-08-04T08:00,32,swell_wave_direction,5,3,7.00,5.50
2026-08-04T09:00,33,swell_wave_height,5,3,0.14,0.10
2026-08-04T09:00,33,swell_wave_period,5,3,3.15,3.03
2026-08-04T09:00,33,swell_wave_direction,5,3,8.00,6.00
2026-08-04T10:00,34,swell_wave_height,5,3,0.14,0.11
2026-08-04T10:00,34,swell_wave_period,5,3,3.20,3.15
2026-08-04T10:00,34,swell_wave_direction,5,3,8.00,6.50
2026-08-04T11:00,35,swell_wave_height,5,3,0.16,0.13
2026-08-04T11:00,35,swell_wave_period,5,3,3.20,3.18
2026-08-04T11:00,35,swell_wave_direction,5,3,9.00,7.50
2026-08-04T12:00,36,swell_wave_height,5,3,0.16,0.13
2026-08-04T12:00,36,swell_wave_period,5,3,3.10,3.10
2026-08-04T12:00,36,swell_wave_direction,5,3,10.00,8.00
2026-08-04T13:00,37,swell_wave_height,5,3,0.18,0.15
2026-08-04T13:00,37,swell_wave_period,5,3,3.10,3.07
2026-08-04T13:00,37,swell_wave_direction,5,3,11.00,9.00
2026-08-04T14:00,38,swell_wave_height,5,3,0.18,0.15
2026-08-04T14:00,38,swell_wave_period,5,3,3.00,3.00
2026-08-04T14:00,38,swell_wave_direction,5,3,10.00,8.50
2026-08-04T15:00,39,swell_wave_height,5,3,0.18,0.15
2026-08-04T15:00,39,swell_wave_period,5,3,2.95,2.95
2026-08-04T15:00,39,swell_wave_direction,5,3,11.00,9.50
2026-08-04T16:00,40,swell_wave_height,5,3,0.20,0.18
2026-08-04T16:00,40,swell_wave_period,5,3,2.85,2.85
2026-08-04T16:00,40,swell_wave_direction,5,3,11.00,9.50
2026-08-04T17:00,41,swell_wave_height,5,3,0.22,0.19
2026-08-04T17:00,41,swell_wave_period,5,3,2.80,2.80
2026-08-04T17:00,41,swell_wave_direction,5,3,12.00,10.50
2026-08-04T18:00,42,swell_wave_height,5,3,0.22,0.19
2026-08-04T18:00,42,swell_wave_period,5,3,2.80,2.80
2026-08-04T18:00,42,swell_wave_direction,5,3,13.00,11.50
2026-08-04T19:00,43,swell_wave_height,5,3,0.24,0.21
2026-08-04T19:00,43,swell_wave_period,5,3,2.70,2.70
2026-08-04T19:00,43,swell_wave_direction,5,3,14.00,12.50
2026-08-04T20:00,44,swell_wave_height,5,3,0.24,0.21
2026-08-04T20:00,44,swell_wave_period,5,3,2.65,2.65
2026-08-04T20:00,44,swell_wave_direction,5,3,14.00,12.50
2026-08-04T21:00,45,swell_wave_height,5,3,0.26,0.23
2026-08-04T21:00,45,swell_wave_period,5,3,2.60,2.60
2026-08-04T21:00,45,swell_wave_direction,5,3,14.00,12.00
2026-08-04T22:00,46,swell_wave_height,5,3,0.28,0.24
2026-08-04T22:00,46,swell_wave_period,5,3,2.60,2.60
2026-08-04T22:00,46,swell_wave_direction,5,3,14.00,12.00
2026-08-04T23:00,47,swell_wave_height,5,3,0.28,0.25
2026-08-04T23:00,47,swell_wave_period,5,3,2.60,2.60
2026-08-04T23:00,47,swell_wave_direction,5,3,14.00,12.50
2026-08-05T00:00,48,swell_wave_height,5,3,0.30,0.27
2026-08-05T00:00,48,swell_wave_period,5,3,2.65,2.60
2026-08-05T00:00,48,swell_wave_direction,5,3,15.00,13.00
2026-08-05T01:00,49,swell_wave_height,5,3,0.30,0.27
2026-08-05T01:00,49,swell_wave_period,5,3,2.75,2.65
2026-08-05T01:00,49,swell_wave_direction,5,3,15.00,13.50
2026-08-05T02:00,50,swell_wave_height,5,3,0.28,0.26
2026-08-05T02:00,50,swell_wave_period,5,3,2.95,2.85
2026-08-05T02:00,50,swell_wave_direction,5,3,16.00,14.50
2026-08-05T03:00,51,swell_wave_height,5,3,0.30,0.27
2026-08-05T03:00,51,swell_wave_period,5,3,3.10,3.03
2026-08-05T03:00,51,swell_wave_direction,5,3,17.00,15.50
2026-08-05T04:00,52,swell_wave_height,5,3,0.30,0.27
2026-08-05T04:00,52,swell_wave_period,5,3,3.00,2.93
2026-08-05T04:00,52,swell_wave_direction,5,3,18.00,16.50
2026-08-05T05:00,53,swell_wave_height,5,3,0.30,0.28
2026-08-05T05:00,53,swell_wave_period,5,3,2.25,2.15
2026-08-05T05:00,53,swell_wave_direction,5,3,12.00,10.00
2026-08-05T06:00,54,swell_wave_height,5,3,0.32,0.28
2026-08-05T06:00,54,swell_wave_period,5,3,1.20,1.10
2026-08-05T06:00,54,swell_wave_direction,5,3,24.00,24.00
2026-08-05T07:00,55,swell_wave_height,5,3,0.38,0.34
2026-08-05T07:00,55,swell_wave_period,5,3,0.45,0.33
2026-08-05T07:00,55,swell_wave_direction,5,3,47.00,46.50
2026-08-05T08:00,56,swell_wave_height,5,3,0.36,0.33
2026-08-05T08:00,56,swell_wave_period,5,3,0.30,0.20
2026-08-05T08:00,56,swell_wave_direction,5,3,47.00,46.00
2026-08-05T09:00,57,swell_wave_height,5,3,0.42,0.39
2026-08-05T09:00,57,swell_wave_period,5,3,0.80,0.42
2026-08-05T09:00,57,swell_wave_direction,5,3,45.00,32.50
2026-08-05T10:00,58,swell_wave_height,5,3,0.42,0.39
2026-08-05T10:00,58,swell_wave_period,5,3,0.90,0.55
2026-08-05T10:00,58,swell_wave_direction,5,3,45.00,32.50
2026-08-05T11:00,59,swell_wave_height,5,3,0.42,0.39
2026-08-05T11:00,59,swell_wave_period,5,3,0.90,0.58
2026-08-05T11:00,59,swell_wave_direction,5,3,46.00,33.00
2026-08-05T12:00,60,swell_wave_height,5,3,0.44,0.39
2026-08-05T12:00,60,swell_wave_period,5,3,1.00,0.68
2026-08-05T12:00,60,swell_wave_direction,5,3,47.00,34.00
2026-08-05T13:00,61,swell_wave_height,5,3,0.46,0.41
2026-08-05T13:00,61,swell_wave_period,5,3,1.05,0.70
2026-08-05T13:00,61,swell_wave_direction,5,3,46.00,33.50
2026-08-05T14:00,62,swell_wave_height,5,3,0.46,0.40
2026-08-05T14:00,62,swell_wave_period,5,3,1.75,1.70
2026-08-05T14:00,62,swell_wave_direction,5,3,29.00,28.50
2026-08-05T15:00,63,swell_wave_height,5,3,0.46,0.41
2026-08-05T15:00,63,swell_wave_period,5,3,1.85,1.80
