PLATFORMCODE,call_name,latitude,longitude,firstdateobservation,lastdateobservation,parameters,dataownername,platformtypedescription
6200192,Monican01,39.51,-9.64,2009-04-27T21:00:00Z,2025-10-01T16:00:00Z,"VHM0, VZMX, VTPK, VTM02, VMDR, VPED, ATMS, DRYT, WSPD, WDIR, RELH, TEMP, DOXY",HYDROGRAPHIC INSTITUTE,Mooring
6200199,Monican02,39.56,-9.21,2018-01-01T01:00:00Z,2026-07-28T13:00:00Z,"VHM0, VZMX, VTPK, VTM02, VMDR, VPED, ATMS, DRYT, WSPD, WDIR, RELH, TEMP, FLU3",HYDROGRAPHIC INSTITUTE,Mooring
