variable,unit,reference,lead_time_days,subset,hours,bias,mae,rmse,drift,bias_share,p5,p95
wind_speed_10m,km/h,open-meteo day 0,2,all hours,6192,-0.2661,2.9337,4.1868,4.1783,0.0040,-6.8000,6.1000
wind_speed_10m,km/h,open-meteo day 0,2,big swell,1653,-0.1754,3.9639,5.5348,5.5320,0.0010,-8.2400,8.0000
wind_speed_10m,km/h,open-meteo day 0,3,all hours,6192,-0.1814,3.4955,4.9868,4.9835,0.0013,-7.9000,7.5000
wind_speed_10m,km/h,open-meteo day 0,3,big swell,1653,-0.2528,4.7239,6.6779,6.6731,0.0014,-10.2000,9.7000
wind_speed_10m,km/h,open-meteo day 0,4,all hours,6192,-0.1866,4.6688,6.5000,6.4973,0.0008,-10.6000,10.3450
wind_speed_10m,km/h,open-meteo day 0,4,big swell,1653,-0.7837,6.4737,8.7872,8.7522,0.0080,-16.0000,13.7400
wind_speed_10m,km/h,open-meteo day 0,5,all hours,6192,3.6559,7.1129,9.6892,8.9730,0.1424,-9.7000,20.3000
wind_speed_10m,km/h,open-meteo day 0,5,big swell,1653,6.7788,10.2651,12.8446,10.9101,0.2785,-12.0400,25.0000
wind_speed_10m,km/h,open-meteo day 0,6,all hours,6192,3.3305,7.9843,10.6589,10.1253,0.0976,-12.4000,21.5000
wind_speed_10m,km/h,open-meteo day 0,6,big swell,1653,5.6874,10.7898,13.6480,12.4065,0.1737,-15.2000,25.4000
wind_speed_10m,km/h,open-meteo day 0,7,all hours,6192,-0.0977,7.0486,9.4628,9.4623,0.0001,-16.5000,15.2000
wind_speed_10m,km/h,open-meteo day 0,7,big swell,1653,-1.8914,9.3196,12.2350,12.0879,0.0239,-23.4400,16.0400
wind_direction_10m,°,open-meteo day 0,1,all hours,6192,-0.1701,12.2363,22.9937,22.9931,0.0001,-29.0000,27.0000
wind_direction_10m,°,open-meteo day 0,1,big swell,1653,-0.9383,11.4682,20.9599,20.9389,0.0020,-30.0000,23.0000
wind_direction_10m,°,open-meteo day 0,2,all hours,6192,0.7093,16.4483,30.0607,30.0524,0.0006,-40.4500,40.0000
wind_direction_10m,°,open-meteo day 0,2,big swell,1653,0.0962,15.7707,27.5097,27.5096,0.0000,-36.0000,37.8000
wind_direction_10m,°,open-meteo day 0,3,all hours,6192,0.3900,19.2892,33.4833,33.4811,0.0001,-46.0000,47.0000
wind_direction_10m,°,open-meteo day 0,3,big swell,1653,-0.1603,17.4126,28.6084,28.6080,0.0000,-42.0000,40.0000
wind_direction_10m,°,open-meteo day 0,4,all hours,6192,0.0016,24.2216,39.8536,39.8536,0.0000,-66.0000,61.0000
wind_direction_10m,°,open-meteo day 0,4,big swell,1653,-1.7780,22.4471,36.5157,36.4724,0.0024,-67.0000,50.0000
wind_direction_10m,°,open-meteo day 0,5,all hours,6192,-0.3702,33.0552,50.8597,50.8584,0.0001,-92.0000,86.0000
wind_direction_10m,°,open-meteo day 0,5,big swell,1653,1.8355,30.2190,45.2336,45.1963,0.0016,-69.4000,83.0000
wind_direction_10m,°,open-meteo day 0,6,all hours,6192,0.9553,42.2828,61.2307,61.2233,0.0002,-115.0000,116.0000
wind_direction_10m,°,open-meteo day 0,6,big swell,1653,4.2123,42.9843,60.9719,60.8262,0.0048,-109.4000,113.0000
wind_direction_10m,°,open-meteo day 0,7,all hours,6192,2.8172,45.6647,64.7162,64.6549,0.0019,-123.0000,124.0000
wind_direction_10m,°,open-meteo day 0,7,big swell,1653,-1.7671,48.9564,66.5689,66.5455,0.0007,-126.4000,123.4000
