variable,unit,lead_time_days,month,hours,mean_drift
wind_speed_10m,km/h,1,2025-12,744,0.1598
wind_speed_10m,km/h,1,2026-01,744,-0.2812
wind_speed_10m,km/h,1,2026-02,672,-0.8976
wind_speed_10m,km/h,1,2026-03,744,-0.9097
wind_speed_10m,km/h,1,2026-04,720,-0.2844
wind_speed_10m,km/h,1,2026-05,744,0.2332
wind_speed_10m,km/h,1,2026-06,720,0.3510
wind_speed_10m,km/h,1,2026-07,744,-0.0362
wind_speed_10m,km/h,2,2025-11,360,-1.3025
wind_speed_10m,km/h,2,2025-12,744,0.5530
wind_speed_10m,km/h,2,2026-01,744,-0.0504
wind_speed_10m,km/h,2,2026-02,672,-1.3804
wind_speed_10m,km/h,2,2026-03,744,-0.7212
wind_speed_10m,km/h,2,2026-04,720,-0.4058
wind_speed_10m,km/h,2,2026-05,744,-0.1984
wind_speed_10m,km/h,2,2026-06,720,0.5585
wind_speed_10m,km/h,2,2026-07,744,-0.0687
wind_speed_10m,km/h,3,2025-11,360,-0.5467
wind_speed_10m,km/h,3,2025-12,744,0.8676
wind_speed_10m,km/h,3,2026-01,744,0.0755
wind_speed_10m,km/h,3,2026-02,672,-1.6241
wind_speed_10m,km/h,3,2026-03,744,-0.6602
wind_speed_10m,km/h,3,2026-04,720,-0.4594
wind_speed_10m,km/h,3,2026-05,744,0.0395
wind_speed_10m,km/h,3,2026-06,720,0.4736
wind_speed_10m,km/h,3,2026-07,744,-0.1144
wind_speed_10m,km/h,4,2025-11,360,-0.9667
wind_speed_10m,km/h,4,2025-12,744,1.2934
wind_speed_10m,km/h,4,2026-01,744,-0.4894
wind_speed_10m,km/h,4,2026-02,672,-2.0043
wind_speed_10m,km/h,4,2026-03,744,-0.2577
wind_speed_10m,km/h,4,2026-04,720,0.1714
wind_speed_10m,km/h,4,2026-05,744,-0.0453
wind_speed_10m,km/h,4,2026-06,720,0.5986
wind_speed_10m,km/h,4,2026-07,744,-0.5215
wind_speed_10m,km/h,5,2025-11,360,6.3981
wind_speed_10m,km/h,5,2025-12,744,8.6503
wind_speed_10m,km/h,5,2026-01,744,7.4065
wind_speed_10m,km/h,5,2026-02,672,3.2304
wind_speed_10m,km/h,5,2026-03,744,4.4586
wind_speed_10m,km/h,5,2026-04,720,3.4088
wind_speed_10m,km/h,5,2026-05,744,3.2941
wind_speed_10m,km/h,5,2026-06,720,-1.6036
wind_speed_10m,km/h,5,2026-07,744,-1.1437
wind_speed_10m,km/h,6,2025-11,360,4.9819
wind_speed_10m,km/h,6,2025-12,744,5.1712
wind_speed_10m,km/h,6,2026-01,744,7.3015
wind_speed_10m,km/h,6,2026-02,672,3.3564
wind_speed_10m,km/h,6,2026-03,744,4.9249
wind_speed_10m,km/h,6,2026-04,720,4.0607
wind_speed_10m,km/h,6,2026-05,744,3.3292
wind_speed_10m,km/h,6,2026-06,720,-2.0846
wind_speed_10m,km/h,6,2026-07,744,-0.3629
wind_speed_10m,km/h,7,2025-11,360,-3.0381
wind_speed_10m,km/h,7,2025-12,744,-0.9832
wind_speed_10m,km/h,7,2026-01,744,-0.9782
wind_speed_10m,km/h,7,2026-02,672,-2.8933
wind_speed_10m,km/h,7,2026-03,744,-0.4866
wind_speed_10m,km/h,7,2026-04,720,3.9615
wind_speed_10m,km/h,7,2026-05,744,0.2613
wind_speed_10m,km/h,7,2026-06,720,0.8386
wind_speed_10m,km/h,7,2026-07,744,0.8117
